=== config_cli �ؼ��ַ��� ===
  0x5e885 pthread_setname_np
  0x5e8f0 pthread_condattr_setpshared
  0x5e90c pthread_setschedparam
  0x5e937 pthread_condattr_setclock
  0x5e98b pthread_mutexattr_settype
  0x5ea09 pthread_mutexattr_setpshared
  0x5eb06 pthread_setaffinity_np
  0x5eb51 pthread_rwlockattr_setpshared
  0x5ece3 dds_create_topic_sertype
  0x5eeaf _ZN3dds4core6policy11policy_nameINS1_10TOwnershipIN3org7eclipse10cyclonedds4core6policy17OwnershipDe
  0x5ef13 legateEEEE4nameB5cxx11Ev
  0x5f1ef _ZNKSt12__shared_ptrIN3org7eclipse10cyclonedds5topic24TopicDescriptionDelegateELN9__gnu_cxx12_Lock_p
  0x5fc18 _ZNSt12__shared_ptrIN3org7eclipse10cyclonedds5topic24TopicDescriptionDelegateELN9__gnu_cxx12_Lock_po
  0x5fcf9 _ZNSt12__shared_ptrIN3org7eclipse10cyclonedds5topic24TopicDescriptionDelegateELN9__gnu_cxx12_Lock_po
  0x5fe0a _ZNK3org7eclipse10cyclonedds5topic3qos16TopicQosDelegate8ddsc_qosEv
  0x5feae _ZNSt15_Sp_counted_ptrIPN3org7eclipse10cyclonedds5topic24TopicDescriptionDelegateELN9__gnu_cxx12_Loc
  0x603b9 _ZNSt12__shared_ptrIN3org7eclipse10cyclonedds5topic24TopicDescriptionDelegateELN9__gnu_cxx12_Lock_po
  0x6042d _ZN3dds4core6policy11policy_nameINS1_9TDeadlineIN3org7eclipse10cyclonedds4core6policy16DeadlineDeleg
  0x60491 ateEEEE4nameB5cxx11Ev
  0x604eb _ZTIN3org7eclipse10cyclonedds5topic24TopicDescriptionDelegateE
  0x608d7 _ZNK3org7eclipse10cyclonedds5topic16AnyTopicDelegate17reader_expressionB5cxx11Ev
  0x60928 _ZNSt8__detail20_Prime_rehash_policy8_M_resetEm
  0x60ec3 _ZN3dds4core6policy11policy_nameINS1_10TGroupDataIN3org7eclipse10cyclonedds4core6policy17GroupDataDe
  0x60f27 legateEEEE4nameB5cxx11Ev
  0x6106c _ZN3dds4core9ReferenceIN3org7eclipse10cyclonedds5topic24TopicDescriptionDelegateEEC2Ev
  0x6160c _ZNK3org7eclipse10cyclonedds5topic3qos16TopicQosDelegate6policyIN3dds4core6policy12TReliabilityINS1_
  0x6169c _ZN3dds4core6policy11policy_nameINS1_8THistoryIN3org7eclipse10cyclonedds4core6policy15HistoryDelegat
  0x61700 eEEEE4nameB5cxx11Ev
  0x61888 _ZNK3org7eclipse10cyclonedds5topic3qos16TopicQosDelegate6policyIN3dds4core6policy9TDeadlineINS1_4cor
  0x61ab0 _ZNSt10shared_ptrIN3org7eclipse10cyclonedds5topic24TopicDescriptionDelegateEED1Ev
  0x61f13 _ZNK3org7eclipse10cyclonedds5topic3qos16TopicQosDelegate6policyIN3dds4core6policy10TOwnershipINS1_4c
