原始来源,原始大小,原始SHA256,脱敏大小,脱敏SHA256,目标路径,处理
C:\zyh\work\漏洞整理\unitree_GO2\Go2_零凭证未授权控制\scripts\probe_discovery.py,1216,959c9a267d802d95af2023a12752d69860d7e3413f2dffcfb7916f0f5ee54fba,1214,97afe0ee975ec9835c4585ba6f557a2f1dd609a2a189c524a1221f04dc83b960,工具/复现工具/G2-001/probe_discovery.py,文本脱敏后导入
C:\zyh\work\漏洞整理\unitree_GO2\Go2_零凭证未授权控制\scripts\decode_notify.py,817,546f04f74f180484a62670f42c84a2ae17e7ab78c08d5b044612349681868255,817,546f04f74f180484a62670f42c84a2ae17e7ab78c08d5b044612349681868255,工具/复现工具/G2-001/decode_notify.py,文本脱敏后导入
C:\zyh\work\漏洞整理\unitree_GO2\Go2_沙箱逃逸root_RCE\scripts\bashrunner_probe.py,1903,782518d2eccad57bf9f37390bbf3913c500d70b79f9a7b4c19deb7ab039824ce,1899,463dba3b6d2d99e2daee380e1c8fdc1e38acddb707c26e5678482ed22909c2e6,工具/复现工具/G2-002/bashrunner_probe.py,文本脱敏后导入
C:\zyh\work\漏洞整理\unitree_GO2\Go2_沙箱逃逸root_RCE\scripts\persist\remove_persist.sh,550,683c9a122c8fa259179aac235893e8a33fcb96bfd775cc650307233a9b0f366d,550,683c9a122c8fa259179aac235893e8a33fcb96bfd775cc650307233a9b0f366d,工具/复现工具/G2-002/remove_persist.sh,文本脱敏后导入
C:\zyh\work\漏洞整理\unitree_GO2\Go2_OTA固件远程获取链\scripts\go2_ota_fetch.py,7604,78ffc15cb1994821087c221e34b78cd148bad90791eb386d909d4de297f46de4,7238,fb84a4693971d3385162112d009532e5cb0280c9cf9d24187c151cbc6fd78827,工具/复现工具/G2-004/go2_ota_fetch.py,文本脱敏后导入
C:\zyh\work\漏洞整理\unitree_GO2\GO2蓝牙btgatt-server分片重组溢出到RCE\scripts\ble_leak_probe.py,3169,27c053559da403bdd7d5882c9e2595e5b69b23f751cd08e90df7258f0ed294e3,3169,27c053559da403bdd7d5882c9e2595e5b69b23f751cd08e90df7258f0ed294e3,工具/复现工具/UT-001/GO2/ble_leak_probe.py,文本脱敏后导入
C:\zyh\work\漏洞整理\unitree_GO2\GO2蓝牙btgatt-server分片重组溢出到RCE\scripts\verify_l_hijack.py,3076,bb25a5d7ec9d29121e29c849253c8e0edf5b225bab758f8f83e20b08f949ccbd,3080,8fe3e78fe7a1e995aa7dd3ae8338bb1caa7486fc84a828de42c918ff5aeae4f3,工具/复现工具/UT-001/GO2/verify_l_hijack.py,文本脱敏后导入
C:\zyh\work\漏洞整理\unitree_R1\R1_audio_detect网络rce\scripts\audio_detect_ci_probe.py,5143,a7f53ce0cc8832da024cd30948037b56377b7c6c5564fe7ccd24ea9cd189b50d,5143,a7f53ce0cc8832da024cd30948037b56377b7c6c5564fe7ccd24ea9cd189b50d,工具/复现工具/R1-001/audio_detect_ci_probe.py,文本脱敏后导入
C:\zyh\work\漏洞整理\unitree_R1\arm服务rename穿越RCE链\poc\chain_e_exploit.py,6634,152aecd86503570f816168c8955c37c637619153cf1452fae0404b16ee430e09,6492,d41a56fdf524655a268d6c2fee9fb848adf3e461c98e07899d505fbb6e241707,工具/复现工具/R1-CHAIN-001/chain_e_exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\unitree_R1\chat_go知识库任意文件写RCE\poc\chain_d_exploit.py,4945,2fb90ac740f8befe9977466cbb94e579cb9ec443978859880435837afaf065e8,4841,944cbaf7bcf0edaf0e8843d7f67beab5512183459a4568733a3011070d8dd328,工具/复现工具/R1-CHAIN-002/chain_d_exploit.py,文本脱敏后导入
