原始来源,原始大小,原始SHA256,目标路径,处理
C:\zyh\work\漏洞整理\伽利略\Flask上传文件名路径穿越任意文件写-1\exploit.py,7402,31d381ac2431099a29327953c68c52fec7c64bbb7aac5d44fa1c2e13faabf903,工具\复现工具\其他机器人\GAL-001\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\Flask管理后台未授权RCE-1\exploit.py,3250,8a4ab3c27bad681ba0f814897350b8232a2a84d1f79af35a37898487f6ec8688,工具\复现工具\其他机器人\GAL-002\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\Flask管理后台未授权RCE-1\get_shell.py,5217,a9825daaeaa61b612ec0dcc6636b64d390c9b9c370cb6c5a60b8c88785c9a494,工具\复现工具\其他机器人\GAL-002\get_shell.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\ONNX策略未签名供应链植入\exploit.py,8156,c290eea892e079fc669a4d2dcbcadeea254a7202789af9668b0a8b5f75cac415,工具\复现工具\其他机器人\GAL-003\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\SHM预创建DoS与假传感器注入\exploit.py,8357,253a7f293602c5ef2295be31f7a8b4d6621f4e3fc98e78d0644abf28434cdf8d,工具\复现工具\其他机器人\GAL-004\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\TCP8888网络手柄协议未授权接入与配置泄露-1\exploit.py,4678,04b5faad5fdd645c267f136d9bd7d2b2813c459237744b6a2c9c713ae0b9ea5c,工具\复现工具\其他机器人\GAL-005\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\UDP10086命令处理栈溢出-1\exploit.py,7036,171de8f0bb26b70b444c48e70058b88d56124cf0e709c97ce1dcaa1748c772e4,工具\复现工具\其他机器人\GAL-006\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\UDP10086命令处理栈溢出-1\observe.py,3042,7a02db82748a7ea0a52ce4c1772213150505e9d3ba46ab9f57adda4be1239355,工具\复现工具\其他机器人\GAL-006\observe.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\UDP10086环形缓冲区反同步\exploit.py,9577,b17c3810bc638d595bb537d1a1fa5a2ba3892aa93ea3c7546a5304c172076615,工具\复现工具\其他机器人\GAL-007\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\UDP10086空指针单包DoS\exploit.py,9618,80a9ae554f511f9508b5458eb2a0b63213465ef5e15acb786514d65b474c8bd8,工具\复现工具\其他机器人\GAL-008\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\UDP10086网络接管协议未授权运动控制-1\exploit.py,6142,753e29004dcc3d27d4dcbdb635f38e63c7bae539e0edc80e8ec6ae4eb87967b0,工具\复现工具\其他机器人\GAL-009\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\UDP10086网络接管协议未授权运动控制-1\poc_takeover.py,625,1c3a8d78ac068feb69ee737a432755bc0c47b1edce41a08ac747fd5a9c737f72,工具\复现工具\其他机器人\GAL-009\poc_takeover.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\Werkzeug调试台PIN泄露RCE-2\exploit.py,5352,13524f155b54046d2d176aeff79211a5b4f68ae4e9f2badf36d700677300ea73,工具\复现工具\其他机器人\GAL-010\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\WiFi连接接口命令注入与网络劫持-1\exploit.py,5237,6c85e37d90314d767d161b80071acfb8ca0c2a41499e38b2235a008e2bdb34c4,工具\复现工具\其他机器人\GAL-011\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\ZMQ5555未授权RPC运动控制\exploit.py,8936,473d2fb1fa0cb6672737cad8f7e8c3010b02cf8ae277bc8baa6025fa80868ab7,工具\复现工具\其他机器人\GAL-012\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\hostapd配置注入AP接管-2\exploit.py,6955,7c40f20820319df9f1cbb59654489b694f0fdd4c6192693f2da07588d51dae52,工具\复现工具\其他机器人\GAL-013\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\mediamtx匿名发布驱逐摄像头-1\exploit.py,14054,2ecc07196007532b5268d5ae9559ca41486cd67a303a0293a24298a1b0fee680,工具\复现工具\其他机器人\GAL-014\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\robot_env接口路径穿越读写\exploit.py,2464,b36941134cc2a6e3db6416b76ab3dbfffbc44a3c05431f9c432bc0feddab4ae7,工具\复现工具\其他机器人\GAL-015\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\sudo免密提权root-1\exploit.py,2284,1fdcef727a79e9b71f090e6a601b3f1726f160388ef86b82e62d636c243a740c,工具\复现工具\其他机器人\GAL-016\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\vis模型WebSocket13140未授权关节控制-1\exploit.py,8961,319c90b6ed57ee337c7d7ee3c0d07e5bb15a2c5f89ab68a66ec84d3ed6c4fe5e,工具\复现工具\其他机器人\GAL-017\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\任意文件读取-1\exploit.py,2744,ff53e66184d1def6340be3b87f76c1ce81633e4eef54dcfb98e0fe2cdce09300,工具\复现工具\其他机器人\GAL-018\exploit.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\任意文件读取-1\read_file.py,3254,bfe18f3479170993543113cf789a499e0c4efbd309a4fa1cf975f6e4d59a7c89,工具\复现工具\其他机器人\GAL-018\read_file.py,文本脱敏后导入
C:\zyh\work\漏洞整理\伽利略\官网Swagger接口文档未授权暴露-1\exploit.py,4522,7ad13e497da1a120076935b2c33b9f464d1cdbaddc1b2fbed84b86872b1d20f7,工具\复现工具\其他机器人\GAL-020\exploit.py,文本脱敏后导入
