原始来源,原始大小,原始SHA256,未提交原因
C:\zyh\work\漏洞整理\伽利略\Flask上传文件名路径穿越任意文件写-1\evidence\AUD-web-upload-filename-path-traversal.md,5739,55e6a1bc2786f0d0ae696f5cf98f855074651788713feb3ac5e33039cbeb214c,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\Flask管理后台未授权RCE-1\evidence\get_functions.json,1599,dce1c5a5be43cc5c79d4ef9a82005509f63c39d2ddc5bcfbf5936d9f366c0483,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\Flask管理后台未授权RCE-1\evidence\index_page.html,13868,60616c860b7ab4336f0dd62530c73ff428c669360b111ffb98af1ec206fc3ca0,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\Flask管理后台未授权RCE-1\evidence\rce_verify.json,109,c2bde2b5c987a37b4ef0282f1631e6917593f2839b9c9fdbeb3950205a358da4,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\ONNX策略未签名供应链植入\evidence\policy目录清单.txt,2796,3251fd961f9d275bb320011d6b75e07cde05ef132390aa6903dc6a5acf327afe,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\SHM预创建DoS与假传感器注入\evidence\shm_channel_yaml.txt,387,879d8ab6ff7f9683df6686b001ce1db17c0cf27dd94437c15c24bb39226ac14d,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\TCP8888网络手柄协议未授权接入与配置泄露-1\evidence\AUD-udp-gamepad-tcp8888-unauth.md,7890,6a7db2be80cb27c0eefd97d5e9a61a95b9ab98cd86a441038418757720670c7c,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\TCP8888网络手柄协议未授权接入与配置泄露-1\evidence\parsePacket_disassembly.txt,7168,17c252c6df78ed08908b951cecf95ecd3e33ef6a6f0159ef541adbc7c21b24bf,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\TCP8888网络手柄协议未授权接入与配置泄露-1\evidence\virtual_joystick_app_config.yaml,5205,6868464708f852c57fbd0627281a8d4b7b80e5ae680daa08d00d758781221b10,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\UDP10086命令处理栈溢出-1\evidence\AUD-udp-cmdhandler-stack-smash.md,7896,89ecb579002e78b1f7f024c7eb9a5135abe7c3d2da8186670b44cb094aa9ea22,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\UDP10086命令处理栈溢出-1\evidence\handler_disassembly.txt,8174,926e9de75fdbea609b9a39408cf0f999a2f0848c6b59a06fc5d081579ac90a17,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\UDP10086命令处理栈溢出-1\evidence\processdata_dis.txt,11454,a608bb492d58d2932ab142e70c84d7e0f387e560ee977a85902de7ec74fb1747,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\UDP10086命令处理栈溢出-1\evidence\实测复现证据_20260829.md,3431,a90e8839b33c0adb097f1b4df3645ac9e4d15c4660b9ace8701edbce82282881,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\UDP10086环形缓冲区反同步\evidence\AUD-udp-ringbuf-desync.md,6128,8bc3c104515fb2533ac56d7c9caf45db27c11f67b05202a1b4c7f0e6827f0544,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\UDP10086空指针单包DoS\evidence\指令级验证_20260829.md,2183,63db433d08f56372ee5bfbf91e8febf9e8fdba73e0fa435933b1c6972cb84eca,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\UDP10086网络接管协议未授权运动控制-1\evidence\cmd_scan.txt,678,03fa218366ed8cca8a3ab7175cd3f65ccd09a413eb411415bbc608824dbe1d85,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
C:\zyh\work\漏洞整理\伽利略\UDP10086网络接管协议未授权运动控制-1\evidence\init_dis.txt,8334,e72f2b52ca7e5f73c74f7cde5f0f276c91fb35284d4db4c405e87d902a49f7e9,禁止进入 Git 的二进制、压缩包、凭据、缓存、依赖或大型证据
