材料说明,来源类型,文件大小,大小MiB,SHA256,本地保管路径,未提交原因
distutils-precedence.pth,历史固件研究材料,151,0.000,2638ce9e2500e572a5e0de7faed6661eb569d1b696fcba07b0dd223da5f5d224,C:\zyh\work\宇树固件\_extracted\readable_output\_tools\venv\Lib\site-packages\distutils-precedence.pth,禁止的固件、压缩包、模型、共享库或抓包类型
master_service.LOG,历史固件研究材料,90503526,86.311,7cdad96c33905e7e3ca9a58d913224b466247fcd1dfab84e5f1fe1403631737c,C:\zyh\work\宇树固件\_extracted\readable_output\text\unitree\var\log\master_service\master_service.LOG,超过 50 MiB
aes_key.bin,历史固件研究材料,16,0.000,dd003eb5163018e3337797a058fc4e962a1813e70726c04c253fb72785d31751,C:\zyh\work\宇树固件\_extracted\unitree\etc\key\aes_key.bin,禁止的固件、压缩包、模型、共享库或抓包类型
go2-audit-report-20260828.tar.gz,历史固件研究材料,556255,0.530,5ecba01956c7b682174efb74962f9e49596517d22e1959b656e4bb5879d9cfc8,C:\zyh\work\宇树固件\_extracted\unitree\go2-audit-report-20260828.tar.gz,禁止的固件、压缩包、模型、共享库或抓包类型
libconsole_bridge.so,历史固件研究材料,18368,0.018,82f54817ec90c8e3da6d49a95f9a70e8689a99f56a6c9e06be74a5874f67d8bd,C:\zyh\work\宇树固件\_extracted\unitree\lib\libconsole_bridge.so,禁止的固件、压缩包、模型、共享库或抓包类型
libcycloneddsidl.so,历史固件研究材料,751672,0.717,68fd57076d1fadab6ab0031e535b0b60a2b07ada8bf80c5239bdbd63195d3f72,C:\zyh\work\宇树固件\_extracted\unitree\lib\libcycloneddsidl.so,禁止的固件、压缩包、模型、共享库或抓包类型
libcycloneddsidlcxx.so,历史固件研究材料,274136,0.261,23b45d77dc27c165ca03eb06d1802df55fc23047b64a974ab5b433771d7f4999,C:\zyh\work\宇树固件\_extracted\unitree\lib\libcycloneddsidlcxx.so,禁止的固件、压缩包、模型、共享库或抓包类型
libdds_security_ac.so,历史固件研究材料,370720,0.354,4dbec7d56732919853076a804dc91f43d9226381ccff342e60a904e1b731b467,C:\zyh\work\宇树固件\_extracted\unitree\lib\libdds_security_ac.so,禁止的固件、压缩包、模型、共享库或抓包类型
libdds_security_auth.so,历史固件研究材料,330496,0.315,0c4eaf5c035ada47d746d9208fa10231f709ba6c00bc7f1c64f11b0944b3d990,C:\zyh\work\宇树固件\_extracted\unitree\lib\libdds_security_auth.so,禁止的固件、压缩包、模型、共享库或抓包类型
libdds_security_crypto.so,历史固件研究材料,511336,0.488,4ceff71a4feed493c2636e822fe58ba780db28c041614e6589edc3a72c15226d,C:\zyh\work\宇树固件\_extracted\unitree\lib\libdds_security_crypto.so,禁止的固件、压缩包、模型、共享库或抓包类型
libddsc.so,历史固件研究材料,9569704,9.126,9ae0419f82a2e4e3d5430a13512cc3051eff226192cb21d94e6dae051a2fa6de,C:\zyh\work\宇树固件\_extracted\unitree\lib\libddsc.so,禁止的固件、压缩包、模型、共享库或抓包类型
libddscxx.so,历史固件研究材料,3153856,3.008,2721c6370e39538e2d6f4ec42f1b1579cfff75e4d8fd51faed1ae65f1414b824,C:\zyh\work\宇树固件\_extracted\unitree\lib\libddscxx.so,禁止的固件、压缩包、模型、共享库或抓包类型
